Kicker_Foot,Kicker_Side,Home_Goals,Away_Goals,Minute,Team_Type
R,L,0,0,30,H
R,L,0,0,70,H
R,R,1,0,70,A
L,L,0,0,77,A
R,L,1,0,25,A
R,L,1,1,45,H
L,C,2,2,90,H
R,R,0,0,43,H
R,L,0,1,90,A
R,L,0,0,48,H
L,L,0,0,59,A
R,L,1,0,85,A
R,R,0,0,39,H
R,C,0,1,77,H
L,R,2,0,90,A
L,C,2,1,90,A
R,L,1,1,69,A
L,L,1,2,84,H
R,C,1,0,13,H
R,L,0,0,16,A
R,R,0,1,32,H
R,R,2,0,45,A
L,R,0,1,71,A
R,C,1,0,56,H
R,R,2,0,68,A
R,R,1,0,72,A
L,L,0,1,90,H
R,C,0,1,24,H
R,R,0,1,22,H
R,L,0,0,32,A
R,L,1,1,73,H
R,R,0,0,9,H
R,L,0,0,45,A
R,R,1,1,90,A
R,L,0,0,20,H
R,R,0,1,23,A
R,L,2,0,69,H
R,C,0,2,82,H
R,R,0,1,26,A
R,R,1,0,45,A
R,L,0,0,7,H
R,R,0,0,12,H
R,L,1,0,26,H
R,R,1,1,45,A
R,R,0,1,45,H
L,R,3,1,82,H
R,L,1,0,30,H
R,L,0,1,77,A
R,C,0,2,80,H
R,R,2,1,90,H
L,R,0,0,14,A
R,L,2,0,77,H
R,L,0,0,13,A
L,L,0,0,90,A
L,L,0,2,90,A
R,L,1,0,23,H
R,L,0,0,45,H
R,L,1,1,76,A
R,L,2,0,90,H
R,L,0,0,31,H
R,L,1,0,35,A
R,R,0,1,53,A
R,R,1,0,90,A
R,R,0,0,15,H
R,L,1,0,45,A
R,L,0,3,90,H
R,C,0,0,35,A
R,C,0,1,71,H
R,L,1,0,72,A
R,L,0,2,82,A
L,R,0,0,8,H
R,L,0,1,43,H
L,R,1,0,62,H
R,L,0,0,26,A
R,L,1,1,70,H
R,L,0,0,79,H
L,L,0,2,34,H
R,L,0,0,24,H
R,R,0,2,45,H
R,C,1,0,69,H
R,R,1,2,51,A
R,L,0,1,41,A
R,L,0,0,72,H
R,R,0,1,73,A
R,R,1,0,80,H
R,L,2,1,42,H
R,L,0,0,12,A
R,L,2,1,90,H
R,L,1,2,77,A
R,R,1,1,64,H
R,L,0,0,52,A
R,L,0,2,89,A
R,L,0,0,15,A
R,L,3,1,80,A
R,L,2,1,90,H
R,L,0,0,57,H
R,R,0,1,79,A
R,L,1,1,78,H
R,L,3,1,86,A
R,R,0,1,72,H
R,L,1,1,90,H
R,R,2,3,87,A
R,L,2,0,45,A
R,L,2,1,87,A
R,R,0,0,26,H
L,R,0,0,40,H
L,R,1,0,81,H
R,L,0,2,66,H
L,R,1,1,81,A
L,L,1,0,12,A
L,R,0,2,71,H
R,R,1,0,90,H
R,R,1,0,71,H
R,L,2,0,81,A
L,L,0,1,26,H
L,L,0,1,66,A
R,R,1,0,24,H
L,R,2,1,90,H
L,L,0,0,53,A
L,R,0,1,70,H
R,L,2,2,76,H
L,L,3,1,70,H
R,L,1,1,90,H
R,R,0,0,64,H
R,L,0,1,65,H
L,C,1,1,54,H
L,R,0,0,16,H
R,R,1,0,76,H
L,L,0,1,44,A
L,L,0,2,53,A
L,L,1,1,45,A
L,R,1,1,50,A
L,L,0,0,15,H
R,R,0,1,34,H
R,C,1,0,51,H
L,R,0,0,75,H
L,R,0,0,26,A
R,L,1,1,45,A
L,R,3,0,88,H
L,R,1,0,35,A
R,C,1,1,90,H
R,R,0,1,5,H
L,L,0,0,25,A
L,L,3,4,90,H
R,C,0,0,49,H
R,L,0,1,56,A
R,R,1,1,59,H
R,C,2,1,75,A
R,L,1,2,58,A
R,L,1,3,73,H
R,L,2,2,90,H
R,C,2,1,65,H
L,L,0,0,27,A
R,C,0,0,57,H
R,L,3,0,85,H
L,L,2,1,90,A
R,L,1,0,23,H
R,R,0,0,23,H
R,R,1,0,62,H
R,C,1,1,64,A
R,R,3,0,75,H
L,L,1,1,89,H
L,L,3,2,86,H
R,C,2,2,89,H
L,R,0,0,45,H
R,C,1,1,79,A
R,L,1,2,90,H
R,C,0,1,61,H
L,C,0,2,71,H
R,R,2,2,59,A
R,R,1,3,82,A
R,L,0,0,17,A
L,R,0,1,36,A
L,R,0,1,41,A
R,R,0,2,52,H
L,R,0,1,41,A
R,R,0,1,58,H
R,R,2,0,79,H
R,R,0,0,12,H
R,L,1,0,36,H
R,L,0,1,50,H
R,L,0,0,10,H
R,L,1,2,61,H
R,L,0,0,6,H
L,C,0,0,44,H
R,L,1,3,77,H
L,R,1,0,19,H
R,L,1,0,88,A
L,R,2,3,90,H
L,R,0,0,33,A
L,R,0,0,33,H
L,R,1,0,63,A
L,L,2,1,84,A
L,R,4,0,64,H
R,R,2,1,65,A
L,L,2,0,76,H
R,L,0,0,31,A
L,L,0,1,90,A
R,R,2,1,61,H
R,R,1,0,87,A
R,L,1,3,87,H
L,L,0,0,12,H
R,C,0,0,17,H
R,C,0,0,24,A
L,L,0,0,45,H
L,L,2,0,45,H
R,R,0,3,90,A
R,R,0,1,45,H
L,L,2,1,35,H
R,L,1,1,43,A
L,R,0,0,37,A
R,L,0,0,9,H
R,R,0,2,90,A
L,C,0,0,22,H
R,R,2,0,45,H
R,R,0,0,45,H
R,L,0,0,14,H
R,L,0,3,52,A
R,L,1,0,87,H
L,L,0,1,11,H
R,R,0,0,38,A
L,C,1,0,43,H
L,R,1,1,45,H
L,C,0,0,45,H
R,L,0,0,52,H
L,R,2,1,84,H
R,R,0,1,45,A
L,L,1,1,67,A
R,R,0,1,21,A
L,L,0,0,55,A
R,R,0,0,19,A
R,L,1,0,39,A
R,R,0,1,42,H
L,L,0,0,26,A
L,L,1,1,48,H
R,L,0,1,56,A
R,L,0,0,9,A
R,L,0,0,13,H
R,R,0,2,33,H
R,R,2,2,73,A
L,R,0,0,57,H
R,R,0,0,19,H
R,L,0,0,26,A
R,R,4,1,59,H
R,L,0,0,69,H
L,R,0,0,25,H
L,R,2,0,76,H
R,R,0,0,6,H
L,R,0,2,64,H
L,R,1,0,57,A
R,L,0,1,82,A
L,R,1,1,90,H
R,L,0,1,19,A
R,R,1,1,20,H
L,R,0,0,28,A
R,L,0,0,45,A
L,R,0,1,25,H
R,C,0,0,50,A
R,C,2,0,67,H
R,L,1,3,47,A
L,R,0,0,14,A
L,R,0,0,26,A
R,R,0,0,47,A
L,R,1,2,90,H
L,R,1,0,17,A
L,L,0,0,25,A
L,R,0,0,20,H
R,L,0,0,41,H
R,C,0,1,68,H
R,R,0,1,69,A
R,L,1,1,83,H
L,R,0,0,49,H
L,L,1,2,45,A
L,R,1,0,83,A
L,R,1,1,87,H
R,C,0,1,35,A
R,C,1,0,45,A
L,R,0,0,71,H
R,C,0,1,56,H
R,C,0,0,62,H
L,L,1,0,88,H
L,C,0,0,8,A
R,R,1,2,90,H
R,L,0,0,36,A
R,L,0,1,56,H
R,L,0,0,45,H
L,R,2,2,59,H
L,R,0,0,10,H
L,R,0,0,62,H
L,R,1,1,90,H
L,R,1,0,37,A
L,R,2,2,81,H
L,L,3,0,88,A
R,L,0,0,74,H
R,L,0,0,18,H
L,L,2,1,29,H
L,R,0,0,45,H
R,R,0,0,61,A
L,C,0,0,90,A
R,R,0,0,26,H
L,L,0,0,45,H
R,R,0,0,64,H
L,L,0,1,71,H
L,L,1,1,90,H
L,L,0,0,23,H
L,R,0,0,25,A
R,L,1,1,44,A
R,L,1,2,80,A
R,L,2,2,90,H
L,R,1,0,26,H
R,L,0,0,3,H
R,R,0,0,7,H
L,C,0,1,42,A
R,C,2,2,89,A
R,C,0,1,90,H
L,R,0,0,6,A
L,R,3,1,38,H
L,R,0,0,22,A
R,R,1,1,71,H
R,L,0,2,90,A
R,R,0,0,14,A
L,L,3,2,69,H
R,R,1,0,37,H
R,L,2,0,69,A
L,L,1,1,31,H
R,R,1,0,48,H
R,L,2,2,23,A
R,L,0,1,84,H
R,R,1,0,51,H
R,L,0,0,31,H
R,R,1,0,44,A
R,L,0,0,45,A
L,C,1,1,64,A
R,L,0,0,42,A
R,L,1,0,49,A
R,R,1,1,58,H
R,L,2,0,90,A
R,L,0,0,4,H
R,R,0,0,12,H
R,L,2,2,69,H
R,L,2,1,71,A
R,L,2,2,79,H
R,R,0,2,80,H
R,R,1,2,90,H
R,C,1,1,24,H
R,L,0,1,48,H
R,L,0,0,59,A
R,C,1,3,76,A
R,L,3,2,90,A
R,L,0,0,48,H
L,R,0,1,62,A
L,R,2,2,84,H
R,L,1,0,28,H
L,R,0,0,62,A
R,L,0,3,74,H
R,L,2,1,90,A
R,C,0,0,45,A
L,R,0,0,8,H
R,L,1,1,78,A
R,L,1,2,89,A
L,L,0,1,35,H
R,R,1,0,43,H
R,L,0,2,70,H
L,L,0,0,73,H
L,R,0,0,8,A
L,L,0,1,19,H
R,R,2,0,45,A
L,R,1,0,71,H
R,R,1,0,89,H
R,R,1,0,17,H
R,L,0,0,22,A
L,L,1,1,73,A
R,L,3,1,90,A
R,L,0,0,15,A
R,R,0,0,15,A
R,R,2,1,36,A
R,L,1,3,86,A
R,L,0,0,23,H
R,L,0,2,35,A
L,R,1,0,68,A
L,R,2,0,88,A
R,L,0,0,15,A
R,R,1,0,36,H
L,R,1,1,61,H
R,L,0,0,7,A
L,R,0,0,18,H
R,C,0,1,67,H
R,R,4,0,72,H
R,R,0,1,90,H
L,R,0,0,31,H
L,R,0,1,53,A
R,L,0,0,52,A
R,R,0,1,55,A
R,L,0,0,8,A
L,L,0,0,22,H
R,R,1,0,25,H
R,L,0,0,31,H
R,L,1,1,49,A
R,L,1,0,32,H
R,R,0,0,42,A
R,L,0,1,60,A
L,C,1,1,45,H
R,L,2,2,90,A
R,R,2,3,90,H
R,R,0,1,90,H
R,L,0,0,27,H
R,L,1,0,32,A
R,R,2,1,60,H
R,L,0,1,25,A
R,C,1,0,30,A
R,L,2,1,50,A
R,R,1,0,55,H
L,R,0,0,62,A
L,L,0,0,33,A
R,R,1,0,40,H
R,L,0,0,26,A
L,L,1,1,88,H
R,C,0,0,61,A
L,C,2,2,70,A
L,L,0,0,12,H
R,R,2,0,36,H
L,L,0,1,59,H
L,R,4,1,62,A
L,L,1,1,62,H
R,C,0,1,68,H
L,L,1,1,73,H
L,L,0,0,5,A
R,L,0,0,7,H
L,L,0,0,45,A
R,L,0,0,55,A
L,C,0,0,29,H
L,L,0,2,34,H
R,R,1,0,44,H
R,L,3,3,69,A
L,R,0,0,21,A
R,L,1,0,43,H
L,R,0,1,52,H
R,C,4,1,80,A
R,L,1,0,83,A
R,R,4,1,70,H
L,R,1,0,82,A
R,R,0,1,26,A
R,R,0,1,61,A
R,R,0,0,25,A
L,L,1,0,38,A
L,R,1,0,41,H
R,R,2,0,54,A
L,R,1,4,67,H
R,L,2,2,88,H
R,R,0,0,88,A
R,L,0,0,43,A
R,L,2,0,55,H
L,R,1,0,78,H
L,L,5,0,79,A
R,R,0,1,90,A
R,L,0,0,13,A
R,L,2,1,55,A
R,L,0,1,45,A
R,L,1,2,66,H
R,R,2,0,38,H
R,R,1,1,61,H
R,R,2,2,90,A
R,L,2,0,27,A
R,L,0,2,61,H
R,L,0,0,12,A
R,R,0,0,37,A
R,L,0,1,26,A
R,L,3,0,42,A
R,R,0,0,17,A
R,L,0,0,84,H
R,R,3,0,90,A
R,L,4,1,55,H
R,R,2,0,71,A
R,C,1,1,77,A
R,R,0,1,58,A
L,R,0,0,16,H
R,L,1,0,24,H
R,L,0,0,56,A
L,L,0,0,26,H
